timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808844096,310,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,1221,136,36,36,http://karaokeivan.com/index.php/login/,310,0,151
1773808844407,2059,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,96590,136,36,36,https://karaokeivan.com/index.php/login/,1655,0,331
1773808844728,1927,HTTP Request,200,OK,Thread Group 1-21,text,true,,97810,272,37,37,https://karaokeivan.com/index.php/login/,319,0,159
1773808844728,319,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,1220,136,37,37,http://karaokeivan.com/index.php/login/,319,0,159
1773808845048,1607,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,96590,136,37,37,https://karaokeivan.com/index.php/login/,1180,0,361
1773808844920,1923,HTTP Request,200,OK,Thread Group 1-23,text,true,,97818,272,38,38,https://karaokeivan.com/index.php/login/,330,0,161
1773808844920,330,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,1221,136,38,38,http://karaokeivan.com/index.php/login/,330,0,161
1773808845251,1592,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,96597,136,38,38,https://karaokeivan.com/index.php/login/,1002,0,349
1773808843599,3376,HTTP Request,200,OK,Thread Group 1-10,text,true,,97811,272,38,38,https://karaokeivan.com/index.php/login/,340,0,173
1773808843599,340,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,1220,136,38,38,http://karaokeivan.com/index.php/login/,340,0,173
1773808843942,3033,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,96591,136,38,38,https://karaokeivan.com/index.php/login/,2639,0,331
1773808843730,3373,HTTP Request,200,OK,Thread Group 1-11,text,true,,97818,272,38,38,https://karaokeivan.com/index.php/login/,337,0,168
1773808843730,337,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,1221,136,38,38,http://karaokeivan.com/index.php/login/,337,0,168
1773808844068,3035,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,96597,136,38,38,https://karaokeivan.com/index.php/login/,2482,0,332
1773808843795,3347,HTTP Request,200,OK,Thread Group 1-12,text,true,,97810,272,38,38,https://karaokeivan.com/index.php/login/,311,0,158
1773808843795,311,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,1220,136,38,38,http://karaokeivan.com/index.php/login/,311,0,158
1773808844107,3035,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,96590,136,38,38,https://karaokeivan.com/index.php/login/,2639,0,333
1773808844512,2907,HTTP Request,200,OK,Thread Group 1-19,text,true,,97810,272,40,40,https://karaokeivan.com/index.php/login/,306,0,152
1773808844512,306,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,1220,136,40,40,http://karaokeivan.com/index.php/login/,306,0,152
1773808844819,2600,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,96590,136,40,40,https://karaokeivan.com/index.php/login/,2172,0,352
1773808844215,3375,HTTP Request,200,OK,Thread Group 1-16,text,true,,97811,272,40,40,https://karaokeivan.com/index.php/login/,317,0,156
1773808844215,317,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,1220,136,40,40,http://karaokeivan.com/index.php/login/,317,0,156
1773808844534,3056,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,96591,136,40,40,https://karaokeivan.com/index.php/login/,2669,0,319
1773808845316,2333,HTTP Request,200,OK,Thread Group 1-27,text,true,,97811,272,40,40,https://karaokeivan.com/index.php/login/,303,0,151
1773808845316,303,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,1221,136,40,40,http://karaokeivan.com/index.php/login/,303,0,151
1773808845620,2029,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,96590,136,40,40,https://karaokeivan.com/index.php/login/,1628,0,324
